amfi_code,latest_nav,nav_1y,nav_3y,cagr_1y,cagr_3y,cagr_5y
100016,583.6113,596.8877,561.5519,-0.02224270997710287,0.01292649342495622,
100025,31.8843,30.7452,28.4135,0.03704968580461343,0.039163899571040384,
100033,342.0072,223.1951,147.2155,0.5323239623092084,0.32442459421956116,
101206,773.2939,522.7639,360.4971,0.4792412023860102,0.2896769452874166,
101207,53.9836,71.018,61.3081,-0.23986031710270628,-0.04152381044854481,
101208,410.1021,382.4272,341.2705,0.0723664530138024,0.06315784491375509,
102885,187.7797,156.2127,109.5778,0.20207703983094838,0.1966726206830185,
102886,125.564,150.9137,128.4997,-0.16797480944407306,-0.007674063178547241,
102887,378.9657,333.6461,191.4633,0.135831349444816,0.25556187904126526,
118632,110.5554,82.5157,59.9173,0.339810484550213,0.22652359830098634,
118633,91.601,72.9656,51.5912,0.25539980483954094,0.2108997654925684,
118634,134.6683,116.2826,106.8805,0.15811221971300937,0.08007927728656083,
118635,326.7508,266.7501,189.0531,0.22493224932249345,0.20008208380471482,
118636,37.8243,34.2441,33.5654,0.10454939683040276,0.040622050237771434,
119092,50.8387,50.0336,50.045,0.016091186722522632,0.005258871209757432,
119093,58.4203,48.7784,33.127,0.197667410165155,0.20816771175535864,
119094,203.8581,166.74,82.651,0.22261065131342206,0.35111802096428524,
119095,56.1319,98.1286,81.548,-0.427976145588544,-0.11705806723995271,
119120,54.2038,51.3673,45.7168,0.055219955107626895,0.05840358798463097,
119551,149.3216,93.0716,67.2551,0.6043734071403091,0.3045652442030289,
119552,137.7323,130.2974,87.6319,0.05706100044974027,0.16267372294624916,
119598,309.205,169.1715,152.1339,0.8277605861507404,0.2666992200118774,
119599,105.4849,92.573,109.8329,0.1394780335518997,-0.01337386614488112,
120503,118.1496,108.9046,79.793,0.08489081269294418,0.13978381933703043,
120504,151.1311,133.6683,64.9875,0.13064279264417977,0.3248742855621496,
120505,473.764,365.5455,207.0322,0.29604659337893646,0.317775371512347,
120506,404.4207,285.1667,243.5209,0.4181904829701364,0.1842199653744454,
120507,388.5939,361.7349,313.7274,0.0742505077613469,0.07394286300360076,
120841,482.127,412.6489,298.9723,0.16837098075385626,0.1726727508371786,
120842,82.6457,67.4648,66.0535,0.2250195657587366,0.07756003551327284,
120843,163.2397,128.8832,75.0212,0.26657081760850154,0.2958277033726251,
120844,4268.5497,3984.8178,3514.2793,0.07120323042122512,0.06695971624586994,
125497,1204.9571,936.4319,725.3323,0.2867535802656873,0.18434488610520172,
125498,188.3619,163.1634,136.8198,0.15443720834451846,0.11245222866621418,
148567,230.2708,191.3173,95.7008,0.20360678307711866,0.3400091602163293,
148568,205.451,179.7953,135.9792,0.14269394138778924,0.14748035533586012,
148569,97.7435,69.9408,45.3433,0.3975176148971702,0.2917890157839378,
149322,606.2349,513.2749,368.5589,0.1811115252275146,0.18044206486636138,
149323,245.3651,201.9778,120.1534,0.21481222193726257,0.268699908289022,
149324,279.7511,169.4037,136.5703,0.6513871892998797,0.27000426614519246,
