amfi_code,VaR_95,CVaR_95,avg_daily_return,volatility,scheme_name,fund_house,category,risk_category
100016,-0.014363639988111142,-0.01806020763217176,0.00014159930699210853,0.009164463506291045,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity,Moderate
100025,-0.003793246199522682,-0.004993763020560281,0.00017005379350090052,0.0024600734466666972,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Debt,Low
100033,-0.019033535861558825,-0.023455762770703794,0.0010798038431409668,0.011929006552266409,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity,High
101206,-0.013281661986281489,-0.017439425687129195,0.0008517723174694551,0.009177111485957208,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,Moderate
101207,-0.026021248221061066,-0.03245905898704435,0.0004244528681492361,0.01625078549471168,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,Very High
101208,-0.0002686575130400159,-0.0004220820655857685,0.00024154628565905978,0.00031902540821652635,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Debt,Low
102885,-0.01261262882069356,-0.01549040525311211,0.0006741587522893979,0.008086315812687744,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Equity,Moderate
102886,-0.01922028344426503,-0.023250860269221213,0.0001098147223397074,0.011423709289098147,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,High
102887,-0.015231617279157872,-0.019411182679158694,0.000645340694310669,0.009926838079358378,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,Moderately High
118632,-0.013954045870018117,-0.017618579320162156,0.0008652259973214283,0.008912624198545506,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Equity,Moderate
118633,-0.013442525143024242,-0.016630178254004827,0.0006163137445172902,0.008817415800853675,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Equity,Moderate
118634,-0.025438111458963106,-0.032304072697818535,0.0007071093821003067,0.01590066360405823,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Equity,Very High
118635,-0.012553697284754662,-0.01617696049480912,0.000600473969875538,0.00817862133654339,Nippon India ETF Nifty 50 BeES,Nippon India MF,Equity,Moderate
118636,-0.003804146068944347,-0.004918918420478294,0.00020153331311365723,0.002510653047599153,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Debt,Low
119092,-0.013749592076363814,-0.017327870956436054,0.0002749789297660477,0.008788090603213455,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Equity,Moderate
119093,-0.014225516634796053,-0.01748670974901306,0.00032985864437101356,0.008808648249969934,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Equity,Moderate
119094,-0.018480276243938307,-0.02426005947837057,0.0010266978562569042,0.012225334849231509,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity,High
119095,-0.02618842440959035,-0.03166729360598028,0.00018236517391230026,0.01579046131293056,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Equity,Very High
119120,-0.003938283121850805,-0.005013693153022244,0.00022226830595075775,0.0024990143961777064,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Debt,Low
119551,-0.012846228628842571,-0.01639680693408763,0.0009167982325947294,0.008656289856377569,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,Moderate
119552,-0.013500970479935082,-0.017335699664199813,0.0007852425930349881,0.008780976223037761,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,Moderate
119598,-0.0245070519056771,-0.03059526410880242,0.0012010157369980656,0.015837075918187664,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,Very High
119599,-0.02685943514961382,-0.03238412245049217,0.00020131692580289563,0.015717101489290827,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,Very High
120503,-0.01355001716250348,-0.01745055416552432,0.000697595408431375,0.008746373512793114,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Equity,Moderate
120504,-0.013728193295939772,-0.017494143685606606,0.0008430464116382315,0.009048331253877995,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Equity,Moderate
120505,-0.01889178619869274,-0.02434207039551981,0.0011613203372383767,0.012152155877011198,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity,High
120506,-0.014388462899080912,-0.01940489860249691,0.0006501094769466271,0.00959432349516923,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Equity,Moderately High
120507,-0.00022157351389344714,-0.00037258039979649643,0.0002676525413793258,0.00031113570896708256,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Debt,Low
120841,-0.013141782186804063,-0.01636273661834337,0.0005220152587214266,0.008481394140912235,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Equity,Moderate
120842,-0.01821853045255608,-0.02272497526268088,0.0003119045881482731,0.011272610878515412,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Equity,High
120843,-0.014507941385630474,-0.018381077688017156,0.001081754914045031,0.010007860815167777,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity,Moderately High
120844,-0.00028479272823556107,-0.00041099591933232505,0.0002561287499929851,0.0003233593463542916,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Debt,Low
125497,-0.014591769071140459,-0.018309885328057912,0.0007095223731125696,0.009240517486188763,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Equity,Moderate
125498,-0.018365320169601018,-0.02309379305316794,0.00047686346287115325,0.011560944277330919,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Equity,High
148567,-0.01355977641751056,-0.017622879905822203,0.001073675403449081,0.008941194822595979,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity,Moderate
148568,-0.014711531333512795,-0.01876476958423089,0.0008250722735460028,0.009719447430866661,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Equity,Moderately High
148569,-0.017118192655621135,-0.021328305810328105,0.0011240540293206527,0.011133577708427352,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,Equity,High
149322,-0.014473851983792741,-0.018401747612732604,0.0005222511308194414,0.009042081769919413,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Equity,Moderate
149323,-0.017882076201903473,-0.02260664210042033,0.0010551910655344048,0.011179029641055074,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Equity,High
149324,-0.023483069386777154,-0.03103625202188441,0.0011941715475284602,0.015647858323745815,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Equity,Very High
